Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,452,433,0.9579646,301,0.6951501,278,0.6420323,112,0.4028777,238,218,0.9159664,160,0.733945,135,0.6192661,58,0.4296296,197,134,0.680203,134,1,81,0.6044776,39,0.4814815,41,26,0.6341463,26,1,20,0.7692308,9,0.45,214,215,1.0046729,141,0.655814,143,0.6651163,54,0.3776224,199,131,0.6582915,131,1,94,0.7175573,40,0.4255319,15,10,0.6666667,10,1,8,0.8,6,0.75
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,1074,838,0.7802607,492,0.5871122,479,0.571599,256,0.5344468,515,403,0.7825243,249,0.617866,225,0.5583127,128,0.5688889,465,233,0.5010753,233,1,146,0.6266094,93,0.6369863,50,16,0.32,16,1,11,0.6875,6,0.5454545,559,435,0.7781753,243,0.5586207,254,0.583908,128,0.503937,511,230,0.4500978,230,1,149,0.6478261,92,0.6174497,48,13,0.2708333,13,1,7,0.5384615,4,0.5714286
RJ2,LEWISHAM AND GREENWICH NHS TRUST,511,373,0.7299413,242,0.6487936,107,0.2868633,56,0.5233645,215,147,0.6837209,103,0.7006803,39,0.2653061,25,0.6410256,*,*,*,*,*,*,*,25,*,*,*,*,*,*,*,*,0,*,296,226,0.7635135,139,0.6150442,68,0.300885,31,0.4558824,285,131,0.4596491,131,1,61,0.4656489,28,0.4590164,11,8,0.7272727,8,1,7,0.875,3,0.4285714
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,672,383,0.5699405,247,0.6449086,243,0.6344648,88,0.3621399,356,256,0.7191011,166,0.6484375,165,0.6445313,58,0.3515152,323,156,0.4829721,156,1,113,0.724359,50,0.4424779,33,10,0.3030303,10,1,8,0.8,3,0.375,316,127,0.4018987,81,0.6377953,78,0.6141732,30,0.3846154,301,*,*,*,*,*,*,*,0.4727273,15,*,*,*,*,*,*,0,*
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,759,527,0.6943347,373,0.7077799,142,0.2694497,67,0.471831,218,144,0.6605505,109,0.7569444,35,0.2430556,19,0.5428571,211,*,*,*,*,35,*,19,*,7,*,*,*,*,0,*,0,*,541,383,0.7079482,264,0.689295,107,0.2793734,48,0.4485981,512,252,0.4921875,252,1,98,0.3888889,46,0.4693878,29,12,0.4137931,12,1,5,0.4166667,1,0.2
RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,483,578,1.1966874,280,0.4844291,317,0.5484429,140,0.4416404,223,240,1.0762332,123,0.5125,138,0.575,59,0.4275362,214,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*,260,338,1.3,157,0.464497,179,0.5295858,81,0.452514,254,*,*,*,*,*,*,*,0.5714286,6,*,*,*,*,*,*,0,*
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1256,760,0.6050955,454,0.5973684,300,0.3947368,71,0.2366667,622,360,0.5787781,225,0.625,141,0.3916667,32,0.2269504,579,216,0.373057,216,1,97,0.4490741,32,0.3298969,43,9,0.2093023,9,1,5,0.5555556,0,0,634,400,0.6309148,229,0.5725,159,0.3975,39,0.245283,610,*,*,*,*,*,*,*,0.3362832,24,*,*,*,*,*,*,0,*
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,974,838,0.8603696,526,0.627685,580,0.6921241,269,0.4637931,445,379,0.8516854,247,0.651715,260,0.6860158,116,0.4461538,420,235,0.5595238,235,1,169,0.7191489,93,0.5502959,25,12,0.48,12,1,9,0.75,7,0.7777778,529,459,0.8676749,279,0.6078431,320,0.6971678,153,0.478125,499,267,0.5350701,267,1,192,0.7191011,123,0.640625,30,12,0.4,12,1,9,0.75,2,0.2222222
RPA,MEDWAY NHS FOUNDATION TRUST,475,378,0.7957895,268,0.7089947,211,0.5582011,111,0.5260664,196,166,0.8469388,118,0.7108434,91,0.5481928,46,0.5054945,184,*,*,*,*,*,*,*,*,12,*,*,*,*,*,*,*,*,279,212,0.7598566,150,0.7075472,120,0.5660377,65,0.5416667,259,143,0.5521236,143,1,89,0.6223776,56,0.6292135,20,7,0.35,7,1,5,0.7142857,3,0.6
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,594,462,0.7777778,443,0.9588745,346,0.7489177,250,0.7225434,273,204,0.7472527,196,0.9607843,149,0.7303922,106,0.7114094,262,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*,321,258,0.8037383,247,0.9573643,197,0.7635659,144,0.7309645,309,238,0.7702265,238,1,183,0.7689076,136,0.7431694,12,9,0.75,9,1,6,0.6666667,4,0.6666667
RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,653,681,1.042879,408,0.5991189,326,0.4787078,173,0.5306748,331,346,1.0453172,200,0.5780347,157,0.4537572,85,0.5414013,315,191,0.6063492,191,1,111,0.5811518,76,0.6846847,16,9,0.5625,9,1,5,0.5555556,2,0.4,322,335,1.0403727,208,0.6208955,169,0.5044776,88,0.5207101,300,194,0.6466667,194,1,120,0.6185567,71,0.5916667,22,14,0.6363636,14,1,9,0.6428571,2,0.2222222
RXF,MID YORKSHIRE HOSPITALS NHS TRUST,933,794,0.8510182,742,0.9345088,532,0.6700252,322,0.6052632,350,303,0.8657143,283,0.9339934,202,0.6666667,118,0.5841584,329,266,0.8085106,266,1,176,0.6616541,104,0.5909091,21,17,0.8095238,17,1,10,0.5882353,7,0.7,583,491,0.8421955,459,0.9348269,330,0.6720978,204,0.6181818,540,426,0.7888889,426,1,287,0.6737089,186,0.6480836,43,33,0.7674419,33,1,19,0.5757576,6,0.3157895
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,332,420,1.2650602,231,0.55,260,0.6190476,138,0.5307692,145,186,1.2827586,110,0.5913978,107,0.5752688,58,0.5420561,137,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*,187,234,1.2513369,121,0.517094,153,0.6538462,80,0.5228758,180,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
NVC08,MOUNT STUART HOSPITAL,501,517,1.0319361,483,0.934236,276,0.5338491,203,0.7355072,242,239,0.9876033,228,0.9539749,136,0.5690377,103,0.7573529,242,228,0.9421488,228,1,132,0.5789474,102,0.7727273,0,0,0,0,0,0,0,0,0,259,278,1.0733591,255,0.9172662,140,0.5035971,100,0.7142857,*,*,*,*,*,*,*,*,0.7462687,*,*,*,*,*,*,*,0,*
NVC09,NEW HALL HOSPITAL,514,515,1.0019455,434,0.8427184,249,0.4834951,194,0.7791165,275,269,0.9781818,234,0.8698885,136,0.5055762,105,0.7720588,*,234,*,234,1,130,0.5555556,100,0.7692308,*,0,*,0,0,0,0,0,0,239,246,1.0292887,200,0.8130081,113,0.4593496,89,0.7876106,*,*,*,*,*,*,*,*,0.8055556,*,*,*,*,*,*,*,0,*
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1544,795,0.5148964,643,0.808805,427,0.5371069,204,0.4777518,811,431,0.5314427,352,0.8167053,225,0.5220418,116,0.5155556,747,303,0.4056225,303,1,158,0.5214521,89,0.5632911,64,49,0.765625,49,1,37,0.755102,21,0.5675676,733,364,0.4965894,291,0.7994505,202,0.5549451,88,0.4356436,705,269,0.3815603,269,1,154,0.5724907,73,0.474026,28,22,0.7857143,22,1,14,0.6363636,7,0.5
RVJ,NORTH BRISTOL NHS TRUST,1223,643,0.5257563,419,0.651633,342,0.5318818,179,0.5233918,563,335,0.5950266,224,0.6686567,175,0.5223881,97,0.5542857,506,204,0.4031621,204,1,129,0.6323529,80,0.620155,57,20,0.3508772,20,1,7,0.35,6,0.8571429,660,308,0.4666667,195,0.6331169,167,0.5422078,82,0.491018,552,174,0.3152174,174,1,102,0.5862069,66,0.6470588,108,21,0.1944444,21,1,16,0.7619048,8,0.5
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,246,140,0.5691057,78,0.5571429,28,0.2,0,0,95,60,0.6315789,36,0.6,10,0.1666667,0,0,82,*,*,*,*,6,*,0,*,13,*,*,*,*,0,*,0,*,151,80,0.5298013,42,0.525,18,0.225,0,0,143,*,*,*,*,*,0.2,*,0,8,*,*,*,*,0,*,0,*
RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,295,262,0.8881356,150,0.5725191,261,0.9961832,149,0.5708812,122,110,0.9016393,73,0.6636364,109,0.9909091,65,0.5963303,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,173,152,0.8786127,77,0.5065789,152,1,84,0.5526316,163,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*
NVC11,NORTH DOWNS HOSPITAL,203,244,1.2019704,181,0.7418033,104,0.4262295,78,0.75,109,131,1.2018349,94,0.7175573,57,0.4351145,45,0.7894737,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,94,113,1.2021277,87,0.7699115,47,0.4159292,33,0.7021277,*,*,*,*,*,*,0.4302326,*,0.7297297,*,*,*,*,*,0,*,0,*
NTP15,NORTH EAST LONDON TREATMENT CENTRE CARE UK,491,231,0.4704684,119,0.5151515,128,0.5541126,57,0.4453125,169,71,0.4201183,36,0.5070423,38,0.5352113,18,0.4736842,169,36,0.2130178,36,1,23,0.6388889,16,0.6956522,0,0,0,0,0,0,0,0,0,322,160,0.4968944,83,0.51875,90,0.5625,39,0.4333333,*,83,0.2601881,*,1,52,0.626506,29,0.5576923,*,0,*,0,0,0,0,0,0
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,184,183,0.9945652,51,0.2786885,102,0.557377,32,0.3137255,71,72,1.0140845,24,0.3333333,38,0.5277778,10,0.2631579,*,24,*,24,1,22,0.9166667,8,0.3636364,*,0,*,0,0,0,0,0,0,113,111,0.9823009,27,0.2432432,64,0.5765766,22,0.34375,*,27,0.2454545,*,1,23,0.8518519,12,0.5217391,*,0,*,0,0,0,0,0,0
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,838,823,0.9821002,770,0.9356015,449,0.545565,295,0.6570156,384,385,1.0026042,357,0.9272727,213,0.5532468,130,0.6103286,343,322,0.9387755,322,1,185,0.5745342,117,0.6324324,41,35,0.8536585,35,1,21,0.6,10,0.4761905,454,438,0.9647577,413,0.9429224,236,0.5388128,165,0.6991525,419,386,0.9212411,386,1,210,0.5440415,152,0.7238095,35,27,0.7714286,27,1,17,0.6296296,11,0.6470588
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1171,903,0.7711358,648,0.717608,479,0.530454,331,0.691023,607,465,0.7660626,347,0.7462366,237,0.5096774,174,0.7341772,552,322,0.5833333,322,1,187,0.5807453,148,0.7914439,55,25,0.4545455,25,1,11,0.44,8,0.7272727,564,438,0.7765957,301,0.6872146,242,0.5525114,157,0.6487603,509,283,0.5559921,283,1,163,0.5759717,119,0.7300613,55,18,0.3272727,18,1,11,0.6111111,9,0.8181818
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,343,332,0.96793,313,0.9427711,321,0.9668675,228,0.7102804,155,148,0.9548387,137,0.9256757,144,0.972973,105,0.7291667,138,121,0.8768116,121,1,118,0.9752066,87,0.7372881,17,16,0.9411765,16,1,16,1,12,0.75,188,184,0.9787234,176,0.9565217,177,0.9619565,123,0.6949153,178,166,0.9325843,166,1,161,0.9698795,115,0.7142857,10,10,1,10,1,10,1,7,0.7
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,483,327,0.6770186,277,0.8470948,147,0.4495413,97,0.6598639,248,191,0.7701613,167,0.8743455,80,0.4188482,52,0.65,237,*,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*,235,136,0.5787234,110,0.8088235,67,0.4926471,45,0.6716418,226,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,800,742,0.9275,593,0.7991914,408,0.5498652,234,0.5735294,353,316,0.8951841,251,0.7943038,162,0.5126582,88,0.5432099,331,244,0.7371601,244,1,146,0.5983607,84,0.5753425,22,7,0.3181818,7,1,4,0.5714286,1,0.25,447,426,0.9530201,342,0.8028169,246,0.5774648,146,0.5934959,429,333,0.7762238,333,1,217,0.6516517,135,0.6221198,18,9,0.5,9,1,4,0.4444444,2,0.5
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2895,2143,0.7402418,1843,0.8600093,1192,0.5562296,743,0.6233221,1372,996,0.7259475,866,0.8694779,572,0.5742972,351,0.6136364,1267,833,0.6574586,833,1,498,0.5978391,315,0.6325301,105,33,0.3142857,33,1,24,0.7272727,16,0.6666667,1523,1147,0.7531188,977,0.8517873,620,0.5405405,392,0.6322581,1478,963,0.6515562,963,1,547,0.5680166,360,0.6581353,45,14,0.3111111,14,1,8,0.5714286,6,0.75
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,1494,1596,1.0682731,774,0.4849624,843,0.5281955,425,0.5041518,667,765,1.1469265,379,0.4954248,369,0.4823529,185,0.501355,616,357,0.5795455,357,1,249,0.697479,155,0.62249,51,22,0.4313725,22,1,20,0.9090909,13,0.65,827,831,1.0048368,395,0.4753309,474,0.5703971,240,0.5063291,747,358,0.4792503,358,1,282,0.7877095,179,0.6347518,80,37,0.4625,37,1,30,0.8108108,19,0.6333333
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",61,55,0.9016393,50,0.9090909,24,0.4363636,13,0.5416667,23,21,0.9130435,20,0.952381,9,0.4285714,4,0.4444444,23,20,0.8695652,20,1,8,0.4,4,0.5,0,0,0,0,0,0,0,0,0,38,34,0.8947368,30,0.8823529,15,0.4411765,9,0.6,38,30,0.7894737,30,1,13,0.4333333,7,0.5384615,0,0,0,0,0,0,0,0,0
NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",238,179,0.7521008,165,0.9217877,109,0.6089385,74,0.6788991,112,82,0.7321429,73,0.8902439,42,0.5121951,28,0.6666667,*,73,*,73,1,38,0.5205479,27,0.7105263,*,0,*,0,0,0,0,0,0,126,97,0.7698413,92,0.9484536,67,0.6907216,46,0.6865672,*,92,0.7419355,*,1,65,0.7065217,46,0.7076923,*,0,*,0,0,0,0,0,0
NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",83,80,0.9638554,69,0.8625,53,0.6625,19,0.3584906,49,46,0.9387755,39,0.8478261,36,0.7826087,11,0.3055556,*,*,*,*,*,*,*,11,*,*,*,*,*,*,*,*,0,*,34,34,1,30,0.8823529,17,0.5,8,0.4705882,34,30,0.8823529,30,1,16,0.5333333,8,0.5,0,0,0,0,0,0,0,0,0
NT206,"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",191,142,0.7434555,137,0.9647887,70,0.4929577,35,0.5,94,74,0.787234,72,0.972973,39,0.527027,23,0.5897436,94,72,0.7659574,72,1,38,0.5277778,23,0.6052632,0,0,0,0,0,0,0,0,0,97,68,0.7010309,65,0.9558824,31,0.4558824,12,0.3870968,*,65,0.6770833,*,1,31,0.4769231,12,0.3870968,*,0,*,0,0,0,0,0,0
NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",161,224,1.3913043,205,0.9151786,119,0.53125,89,0.7478992,69,110,1.5942029,99,0.9,60,0.5454545,48,0.8,69,99,1.4347826,99,1,55,0.5555556,45,0.8181818,0,0,0,0,0,0,0,0,0,92,114,1.2391304,106,0.9298246,59,0.5175439,41,0.6949153,92,106,1.1521739,106,1,59,0.5566038,41,0.6949153,0,0,0,0,0,0,0,0,0
NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",54,34,0.6296296,30,0.8823529,14,0.4117647,8,0.5714286,14,6,0.4285714,6,1,1,0.1666667,0,0,14,6,0.4285714,6,1,1,0.1666667,0,0,0,0,0,0,0,0,0,0,0,40,28,0.7,24,0.8571429,13,0.4642857,8,0.6153846,*,24,0.6315789,*,1,11,0.4583333,7,0.6363636,*,0,*,0,0,0,0,0,0
NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",217,214,0.9861751,185,0.864486,132,0.6168224,81,0.6136364,109,107,0.9816514,94,0.8785047,58,0.5420561,34,0.5862069,109,94,0.8623853,94,1,55,0.5851064,33,0.6,0,0,0,0,0,0,0,0,0,108,107,0.9907407,91,0.8504673,74,0.6915888,47,0.6351351,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",858,802,0.9347319,729,0.9089776,454,0.5660848,303,0.6674009,342,319,0.9327485,298,0.9341693,180,0.5642633,129,0.7166667,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,516,483,0.9360465,431,0.8923395,274,0.5672878,174,0.6350365,*,*,*,*,*,*,0.5990676,*,0.6498054,*,*,*,*,*,0,*,0,*
NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",8,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",126,117,0.9285714,98,0.8376068,62,0.5299145,36,0.5806452,74,67,0.9054054,56,0.8358209,35,0.5223881,23,0.6571429,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,52,50,0.9615385,42,0.84,27,0.54,13,0.4814815,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",179,272,1.5195531,262,0.9632353,172,0.6323529,119,0.6918605,95,111,1.1684211,107,0.963964,65,0.5855856,44,0.6769231,95,107,1.1263158,107,1,63,0.588785,43,0.6825397,0,0,0,0,0,0,0,0,0,84,161,1.9166667,155,0.9627329,107,0.6645963,75,0.7009346,84,155,1.8452381,155,1,105,0.6774194,74,0.7047619,0,0,0,0,0,0,0,0,0
NT225,"NUFFIELD HEALTH, LEEDS HOSPITAL",582,547,0.9398625,495,0.904936,341,0.6234004,204,0.5982405,229,213,0.930131,193,0.9061033,129,0.6056338,78,0.6046512,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,353,334,0.9461756,302,0.9041916,212,0.6347305,126,0.5943396,*,*,*,*,*,*,*,*,0.6315789,*,*,*,*,*,*,*,0,*
NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",333,252,0.7567568,222,0.8809524,158,0.6269841,99,0.6265823,136,101,0.7426471,90,0.8910891,49,0.4851485,31,0.6326531,*,90,*,90,1,43,0.4777778,29,0.6744186,*,0,*,0,0,0,0,0,0,197,151,0.7664975,132,0.8741722,109,0.7218543,68,0.6238532,197,132,0.6700508,132,1,95,0.719697,62,0.6526316,0,0,0,0,0,0,0,0,0
NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",122,494,4.0491803,460,0.9311741,237,0.4797571,175,0.7383966,62,236,3.8064516,222,0.940678,120,0.5084746,92,0.7666667,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,60,258,4.3,238,0.9224806,117,0.4534884,83,0.7094017,60,238,3.9666667,238,1,112,0.4705882,81,0.7232143,0,0,0,0,0,0,0,0,0
NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",674,468,0.694362,446,0.9529915,284,0.6068376,186,0.6549296,336,258,0.7678571,250,0.9689922,152,0.5891473,103,0.6776316,330,244,0.7393939,244,1,148,0.6065574,100,0.6756757,6,6,1,6,1,3,0.5,2,0.6666667,338,210,0.6213018,196,0.9333333,132,0.6285714,83,0.6287879,330,*,*,*,*,*,*,*,*,8,*,*,*,*,*,*,*,*
NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",412,351,0.8519417,338,0.962963,220,0.6267806,155,0.7045455,190,159,0.8368421,152,0.9559748,96,0.6037736,79,0.8229167,*,152,*,152,1,94,0.6184211,78,0.8297872,*,0,*,0,0,0,0,0,0,222,192,0.8648649,186,0.96875,124,0.6458333,76,0.6129032,222,186,0.8378378,186,1,120,0.6451613,74,0.6166667,0,0,0,0,0,0,0,0,0
NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",205,166,0.8097561,144,0.8674699,110,0.6626506,65,0.5909091,65,53,0.8153846,48,0.9056604,35,0.6603774,21,0.6,65,48,0.7384615,48,1,33,0.6875,19,0.5757576,0,0,0,0,0,0,0,0,0,140,113,0.8071429,96,0.8495575,75,0.6637168,44,0.5866667,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",313,344,1.0990415,278,0.8081395,170,0.494186,101,0.5941176,146,170,1.1643836,130,0.7647059,82,0.4823529,46,0.5609756,146,130,0.890411,130,1,78,0.6,45,0.5769231,0,0,0,0,0,0,0,0,0,167,174,1.0419162,148,0.8505747,88,0.5057471,55,0.625,167,148,0.8862275,148,1,79,0.5337838,54,0.6835443,0,0,0,0,0,0,0,0,0
NT237,"NUFFIELD HEALTH, TEES HOSPITAL",748,703,0.9398396,676,0.9615932,396,0.5633001,259,0.6540404,326,313,0.9601227,299,0.9552716,170,0.543131,107,0.6294118,319,292,0.9153605,292,1,158,0.5410959,102,0.6455696,7,7,1,7,1,4,0.5714286,2,0.5,422,390,0.9241706,377,0.9666667,226,0.5794872,152,0.6725664,412,370,0.8980583,370,1,218,0.5891892,149,0.6834862,10,7,0.7,7,1,5,0.7142857,2,0.4
NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",197,167,0.8477157,158,0.9461078,74,0.4431138,55,0.7432432,109,89,0.8165138,86,0.9662921,37,0.4157303,28,0.7567568,*,86,*,86,1,37,0.4302326,28,0.7567568,*,0,*,0,0,0,0,0,0,88,78,0.8863636,72,0.9230769,37,0.474359,27,0.7297297,*,72,0.8275862,*,1,35,0.4861111,26,0.7428571,*,0,*,0,0,0,0,0,0
NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",19,57,3,56,0.9824561,34,0.5964912,24,0.7058824,8,19,2.375,19,1,11,0.5789474,8,0.7272727,8,19,2.375,19,1,11,0.5789474,8,0.7272727,0,0,0,0,0,0,0,0,0,11,38,3.4545455,37,0.9736842,23,0.6052632,16,0.6956522,11,37,3.3636364,37,1,22,0.5945946,16,0.7272727,0,0,0,0,0,0,0,0,0
NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",164,125,0.7621951,110,0.88,77,0.616,40,0.5194805,84,64,0.7619048,58,0.90625,43,0.671875,24,0.5581395,*,58,*,58,1,40,0.6896552,23,0.575,*,0,*,0,0,0,0,0,0,80,61,0.7625,52,0.852459,34,0.557377,16,0.4705882,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",358,430,1.2011173,361,0.8395349,236,0.5488372,147,0.6228814,182,209,1.1483516,185,0.8851675,124,0.5933014,73,0.5887097,*,*,*,*,*,*,*,71,*,*,*,*,*,*,*,*,0,*,176,221,1.2556818,176,0.7963801,112,0.5067873,74,0.6607143,*,176,1.0114943,*,1,100,0.5681818,69,0.69,*,0,*,0,0,0,0,0,0
NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",6,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,*,0,*,*,0,0,0,0,0,*,0,*,0,0,0,0,0,0
NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",287,262,0.912892,238,0.9083969,159,0.6068702,94,0.591195,127,118,0.9291339,110,0.9322034,71,0.6016949,44,0.6197183,*,*,*,*,*,65,*,43,*,*,*,*,*,*,0,*,0,*,160,144,0.9,128,0.8888889,88,0.6111111,50,0.5681818,*,128,0.8050314,*,1,79,0.6171875,48,0.6075949,*,0,*,0,0,0,0,0,0
NT245,"NUFFIELD HEALTH, YORK HOSPITAL",299,279,0.9331104,262,0.9390681,186,0.6666667,124,0.6666667,130,115,0.8846154,113,0.9826087,72,0.626087,50,0.6944444,*,*,*,*,*,*,*,49,*,*,*,*,*,*,*,*,0,*,169,164,0.9704142,149,0.9085366,114,0.695122,74,0.6491228,163,*,*,*,*,*,*,*,*,6,*,*,*,*,*,*,*,*
NT244,NUFFIELD HOSPITAL OXFORD (THE MANOR),109,99,0.9082569,76,0.7676768,40,0.4040404,23,0.575,52,44,0.8461538,35,0.7954545,14,0.3181818,11,0.7857143,52,35,0.6730769,35,1,14,0.4,11,0.7857143,0,0,0,0,0,0,0,0,0,57,55,0.9649123,41,0.7454545,26,0.4727273,12,0.4615385,57,41,0.7192982,41,1,23,0.5609756,11,0.4782609,0,0,0,0,0,0,0,0,0
NVC12,OAKLANDS HOSPITAL,474,376,0.7932489,337,0.8962766,206,0.5478723,137,0.6650485,195,150,0.7692308,141,0.94,76,0.5066667,48,0.6315789,195,141,0.7230769,141,1,72,0.5106383,46,0.6388889,0,0,0,0,0,0,0,0,0,279,226,0.8100358,196,0.8672566,130,0.5752212,89,0.6846154,*,196,0.705036,*,1,117,0.5969388,83,0.7094017,*,0,*,0,0,0,0,0,0
